id,name,latitude,longitude,timestamp
1,Location1,55.424975,37.578936,2025-04-22 12:00:00
2,Location2,55.817062, 37.383687,2025-04-28 22:00:00
3,Location3,55.457021, 37.598932,2025-04-28 22:00:00
4,Vologda,59.223058, 39.889616,2004-01-26 06:15:00
5,St. Petersburg,59.947343, 30.304550,2025-04-28 22:00:00
6,N. Novgorod,56.330062, 43.998288,2025-04-28 22:00:00
7,Kazan,55.800484, 49.105920,2025-04-28 22:00:00
8,Location4,55.826270, 37.637526,2025-04-28 22:00:00
9,Location5,55.715765, 37.553634,2025-04-28 22:00:00
10,Location6,55.791170, 37.559590,2025-04-28 22:00:00
11,Kaliningrad,54.712899, 20.496575,2025-04-28 22:00:00
12,Location7,55.775551, 37.658467,2025-04-28 22:00:00
13,Location8,55.761132, 37.606334,2025-04-28 22:00:00
14,Location9,55.457021, 37.598932,2022-11-22 10:00:00
15,Location10,55.397756, 37.564221,2025-04-25 16:00:00
16,Location11,55.421855, 37.569188,2025-03-03 17:00:00
17,Location12,55.446694, 37.545452,2024-12-22 16:00:00
18,Location13,55.329042, 37.483137,2024-12-22 16:00:00
19,Location14,55.346994, 37.395084,2013-10-10 20:00:00
20,Russia,54.712899, 20.496575,2025-04-28 22:00:00
21,IqnixTech,55.423306, 37.579285,2022-03-24 15:00:00
22,Podolsk Cadets Square,55.423252, 37.518292, 2022-03-24 15:00:00
23,Yaroslavl',57.626559, 39.893813, 2025-04-28 22:00:00
24,Kostroma,57.767918, 40.926894, 2025-04-28 22:00:00
25,Tver',56.858745, 35.917421, 2025-04-28 22:00:00
26,Smolensk,54.778263, 32.051054, 2025-04-28 22:00:00
27,Bryansk,53.243397, 34.360934, 2025-04-28 22:00:00
28,Vladimir,56.130789, 40.404232, 2025-04-28 22:00:00
29,Arkhangel'sk,64.546907, 40.497798, 2025-04-28 22:00:00
30,Volgograd,48.706584, 44.493640, 2025-04-28 22:00:00
31,Sochi,43.593763, 39.705235, 2025-04-28 22:00:00
32,Pyatigorsk,44.042100, 43.065374,2025-04-28 22:00:00
33,Taganrog,47.211333, 38.931935,2025-04-28 22:00:00
34,Serpukhov,54.914743, 37.412855,2025-06-26 09:00:00
35,Minsk,53.908358, 27.552593,2025-06-26 09:00:00
36,Petrozavodsk,61.793016, 34.333415,2025-06-26 09:00:00
37,Murmansk,68.977104, 33.056507,2025-06-26 09:00:00
38,Rogachevo Airport, 71.611780, 52.466269,2025-06-26 09:00:00
39,White lip,71.536107, 52.343941,2025-06-26 09:00:00
40,Vorkuta,67.503124, 64.043542,2025-06-26 09:00:00
41,Kostomuksha,64.589504, 30.579746,2025-06-26 09:00:00
42,Mount Elbrus,43.353264, 42.435176,2025-06-26 09:00:00
43,Mogilev,53.898607, 30.321062,2025-06-26 09:00:00
44,Brest,52.099228, 23.683341,2025-06-26 09:00:00
45,Vitebsk,55.184919, 30.199976,2025-06-26 09:00:00
46,Gomel',52.430170, 31.003547,2025-06-26 09:00:00
47,Lida,53.892105, 25.301492,2025-06-26 09:00:00
48,Grodno,53.678613, 23.829195,2025-06-26 09:00:00
49,Nicosia,35.180810, 33.309687,2017-06-18 09:00:00
50,Voronezh,51.673499, 39.165851,2025-06-26 09:00:00
51,Perm',58.010005, 56.205969,2025-06-26 09:00:00
52,Ekaterinburg,56.846331, 60.565068,2025-06-26 09:00:00
53,Chelyabinsk,55.206957, 61.335616,2025-06-26 09:00:00
54,Penza,53.207064, 44.977984,2025-06-26 09:00:00
55,Ishim,56.109267, 69.448386,2025-06-26 09:00:00
56,New Urengoi,66.097072, 76.636497,2025-06-26 09:00:00
57,Salehard,66.530350, 66.612494,2025-06-26 09:00:00
58,Lisbon,38.707890, -9.136594,2025-06-26 09:00:00
59,Madrid,40.425930, -3.731654,2025-06-26 09:00:00
60,Paris,48.881132, 2.311644,2025-06-26 09:00:00
61,Zurich,47.407862, 8.520059,2025-06-26 09:00:00
62,Rome,41.914719, 12.482877,2025-06-26 09:00:00
63,Zagreb,45.822709, 15.972358,2025-06-26 09:00:00
